Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 39653.630000000005, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 57808.909999999996, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 44579.72999999999, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 37658.44, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 44703.55999999999, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70284.67, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70773.73999999999, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 57055.48999999999, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32796.85, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33285.92, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 56035.1, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 19567.670000000002, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 35995.98, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 43041.1, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 43530.17, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 66279.35, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 50366.770000000004, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32730.18, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 41716.93, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 40054.47, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32276.73, cantidad escalas: 4
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32765.8, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 58211.13, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 65535.42, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 55514.979999999996, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70686.89, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 78011.18, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 19047.550000000003, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33199.07, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 40523.36, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 39602.399999999994, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 28771.47, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 35816.59, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 36305.659999999996, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 59054.84, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 43142.259999999995, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32427.74, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32916.81, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 55665.99, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 19198.560000000005, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 39753.41, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 57908.69000000001, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 44679.51, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 37758.22, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 44803.34, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70384.45000000001, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70873.52, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 57155.27, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32896.630000000005, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33385.700000000004, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 56134.88, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 19667.450000000004, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 23422.27, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 48903.219999999994, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 61378.97999999999, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 23891.16, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 15923.7, cantidad escalas: 4
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 22968.82, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 23457.89, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 46207.06999999999, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32409.020000000004, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 30294.490000000005, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 2476.4700000000003, cantidad escalas: 3
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25055.059999999998, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33291.57, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 34041.81, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32379.35, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 45988.329999999994, cantidad escalas: 8
